timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0017]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6947]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2055]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7807]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4231]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1732]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0664]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1329]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6024]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1208]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5423]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3669]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9552]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3148]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4587]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4033]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1684]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7763]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2509]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6174]
[0.042],[1.732],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.8966]
[0.044],[1.7334],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.1165]
[0.046],[1.7349],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.3037]
[0.048],[1.7365],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.4836]
[0.05],[1.7381],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6777]
[0.052],[1.7398],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0946]
[0.054],[1.7414],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8163]
[0.056],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[1.4728]
[0.058],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0525]
[0.06],[1.7458],[0.001 0.001 0.001 0.001 0.001 0.001],[2.5464]
[0.062],[1.747],[0.001  0.001  0.001  0.001  0.001  0.0012],[3.4487]
[0.064],[1.748],[0.001  0.001  0.001  0.001  0.001  0.0014],[3.6748]
[0.066],[1.7489],[0.001  0.001  0.001  0.001  0.001  0.0015],[3.802]
[0.068],[1.7495],[0.001  0.001  0.001  0.001  0.001  0.0015],[3.8339]
[0.07],[1.7499],[0.001  0.001  0.001  0.001  0.001  0.0016],[3.7764]
[0.072],[1.7502],[0.001  0.001  0.001  0.001  0.001  0.0016],[3.6372]
[0.074],[1.7503],[0.001  0.001  0.001  0.001  0.001  0.0016],[3.4253]
[0.076],[1.7502],[0.001  0.001  0.001  0.001  0.001  0.0016],[3.1509]
[0.078],[1.7499],[0.001  0.001  0.001  0.001  0.001  0.0016],[2.825]
[0.08],[1.7496],[0.001  0.001  0.001  0.001  0.001  0.0016],[2.4589]
[0.082],[1.7491],[0.001  0.001  0.001  0.001  0.001  0.0016],[2.042]
[0.084],[1.7485],[0.001  0.001  0.001  0.001  0.001  0.0016],[1.6372]
[0.086],[1.7478],[0.001  0.001  0.001  0.001  0.001  0.0016],[1.2245]
[0.088],[1.7471],[0.001  0.001  0.001  0.001  0.001  0.0016],[0.815]
[0.09],[1.7464],[0.001  0.001  0.001  0.001  0.001  0.0015],[0.4182]
[0.092],[1.7456],[0.001  0.001  0.001  0.001  0.001  0.0015],[0.0424]
[0.094],[1.7449],[0.001  0.001  0.001  0.001  0.001  0.0015],[-0.3051]
[0.096],[1.7442],[0.001  0.001  0.001  0.001  0.001  0.0015],[-0.6182]
[0.098],[1.7435],[0.001  0.001  0.001  0.001  0.001  0.0015],[-0.8921]
[0.1],[1.7429],[0.001  0.001  0.001  0.001  0.001  0.0015],[-1.1234]
[0.102],[1.7424],[0.001  0.001  0.001  0.001  0.001  0.0015],[-1.5351]
[0.104],[1.7419],[0.001  0.001  0.001  0.001  0.001  0.0015],[-1.6362]
[0.106],[1.7415],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.6907]
[0.108],[1.7412],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.7007]
[0.11],[1.741],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.6692]
[0.112],[1.7409],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.6003]
[0.114],[1.7408],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.4984]
[0.116],[1.7409],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.3684]
[0.118],[1.741],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.2156]
[0.12],[1.7411],[0.001  0.001  0.001  0.001  0.001  0.0014],[-1.0454]
[0.122],[1.7413],[0.001  0.001  0.001  0.001  0.001  0.0014],[-0.8416]
[0.124],[1.7416],[0.001  0.001  0.001  0.001  0.001  0.0014],[-0.6566]
[0.126],[1.7419],[0.001  0.001  0.001  0.001  0.001  0.0013],[-0.4694]
[0.128],[1.7421],[0.001  0.001  0.001  0.001  0.001  0.0013],[-0.2851]
[0.13],[1.7424],[0.001  0.001  0.001  0.001  0.001  0.0013],[-0.1079]
[0.132],[1.7428],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.0586]
[0.134],[1.7431],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.2111]
[0.136],[1.7433],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.3471]
[0.138],[1.7436],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.4646]
[0.14],[1.7438],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.5622]
[0.142],[1.7441],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.7434]
[0.144],[1.7442],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.7816]
[0.146],[1.7443],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.7984]
[0.148],[1.7444],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.795]
[0.15],[1.7445],[0.001  0.001  0.001  0.001  0.001  0.0013],[0.773]
