timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0198]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7107]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2176]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7893]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4284]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1754]
[0.014],[1.7396],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0658]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1299]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6075]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1274]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5518]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.377]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9655]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3251]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4685]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4125]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1768]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7836]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2571]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6222]
[0.042],[1.7321],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.8999]
[0.044],[1.7334],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.1184]
[0.046],[1.7349],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.3044]
[0.048],[1.7365],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.4831]
[0.05],[1.7382],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.676]
[0.052],[1.7398],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0973]
[0.054],[1.7414],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8199]
[0.056],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[1.4772]
[0.058],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0575]
[0.06],[1.7459],[0.001 0.001 0.001 0.001 0.001 0.001],[2.5519]
[0.062],[1.7471],[0.001 0.001 0.001 0.001 0.001 0.001],[3.4552]
[0.064],[1.7481],[0.001 0.001 0.001 0.001 0.001 0.001],[3.6808]
[0.066],[1.7489],[0.001 0.001 0.001 0.001 0.001 0.001],[3.8069]
[0.068],[1.7495],[0.001 0.001 0.001 0.001 0.001 0.001],[3.8375]
[0.07],[1.75],[0.001 0.001 0.001 0.001 0.001 0.001],[3.7783]
[0.072],[1.7502],[0.001 0.001 0.001 0.001 0.001 0.001],[3.6373]
[0.074],[1.7503],[0.001 0.001 0.001 0.001 0.001 0.001],[3.4235]
[0.076],[1.7502],[0.001 0.001 0.001 0.001 0.001 0.001],[3.1471]
[0.078],[1.75],[0.001 0.001 0.001 0.001 0.001 0.001],[2.8193]
[0.08],[1.7496],[0.001 0.001 0.001 0.001 0.001 0.001],[2.4513]
[0.082],[1.7491],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0315]
[0.084],[1.7485],[0.001 0.001 0.001 0.001 0.001 0.001],[1.6252]
[0.086],[1.7478],[0.001 0.001 0.001 0.001 0.001 0.001],[1.2112]
[0.088],[1.7471],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8007]
[0.09],[1.7464],[0.001 0.001 0.001 0.001 0.001 0.001],[0.4031]
[0.092],[1.7456],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0267]
[0.094],[1.7449],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.321]
[0.096],[1.7442],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6342]
[0.098],[1.7435],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.908]
[0.1],[1.7429],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.1389]
[0.102],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.5505]
[0.104],[1.7419],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.6508]
[0.106],[1.7415],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.7043]
[0.108],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.7132]
[0.11],[1.741],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.6807]
[0.112],[1.7409],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.6106]
[0.114],[1.7409],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.5075]
[0.116],[1.7409],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.3763]
[0.118],[1.741],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.2223]
[0.12],[1.7411],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.0509]
[0.122],[1.7413],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.8453]
[0.124],[1.7416],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6595]
[0.126],[1.7419],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.4716]
[0.128],[1.7422],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.2866]
[0.13],[1.7425],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.1089]
[0.132],[1.7428],[0.001 0.001 0.001 0.001 0.001 0.001],[0.058]
[0.134],[1.7431],[0.001 0.001 0.001 0.001 0.001 0.001],[0.2109]
[0.136],[1.7434],[0.001 0.001 0.001 0.001 0.001 0.001],[0.3471]
[0.138],[1.7436],[0.001 0.001 0.001 0.001 0.001 0.001],[0.4646]
[0.14],[1.7439],[0.001 0.001 0.001 0.001 0.001 0.001],[0.5622]
[0.142],[1.7441],[0.001 0.001 0.001 0.001 0.001 0.001],[0.7437]
[0.144],[1.7442],[0.001 0.001 0.001 0.001 0.001 0.001],[0.7815]
[0.146],[1.7444],[0.001 0.001 0.001 0.001 0.001 0.001],[0.798]
[0.148],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[0.7943]
[0.15],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[0.7719]
[0.152],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[0.733]
[0.154],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[0.6795]
[0.156],[1.7444],[0.001 0.001 0.001 0.001 0.001 0.001],[0.6139]
[0.158],[1.7443],[0.001 0.001 0.001 0.001 0.001 0.001],[0.5387]
[0.16],[1.7442],[0.001 0.001 0.001 0.001 0.001 0.001],[0.4564]
[0.162],[1.7441],[0.001 0.001 0.001 0.001 0.001 0.001],[0.3572]
[0.164],[1.744],[0.001 0.001 0.001 0.001 0.001 0.001],[0.2707]
[0.166],[1.7438],[0.001 0.001 0.001 0.001 0.001 0.001],[0.1841]
[0.168],[1.7436],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0997]
[0.17],[1.7435],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0193]
[0.172],[1.7433],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.0556]
[0.174],[1.7431],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.1234]
[0.176],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.1831]
[0.178],[1.7428],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.2339]
[0.18],[1.7427],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.2752]
[0.182],[1.7426],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3528]
[0.184],[1.7425],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3667]
[0.186],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3708]
[0.188],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3657]
[0.19],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3523]
[0.192],[1.7423],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3316]
[0.194],[1.7423],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.3044]
[0.196],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.272]
[0.198],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.2356]
[0.2],[1.7424],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.1962]
[0.202],[1.7425],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.1467]
[0.204],[1.7425],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.1065]
[0.206],[1.7426],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.0666]
[0.208],[1.7426],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.0281]
[0.21],[1.7427],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0083]
[0.212],[1.7428],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0417]
[0.214],[1.7428],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0718]
[0.216],[1.7429],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0979]
[0.218],[1.7429],[0.001 0.001 0.001 0.001 0.001 0.001],[0.1198]
[0.22],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[0.1373]
[0.222],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[0.1718]
