timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.744],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0242]
[0.004],[1.7446],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7146]
[0.006],[1.7446],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2207]
[0.008],[1.7439],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7916]
[0.01],[1.7428],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4299]
[0.012],[1.7413],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1763]
[0.014],[1.7396],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0661]
[0.016],[1.7378],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1298]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6081]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1282]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5531]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3785]
[0.026],[1.7301],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.967]
[0.028],[1.7293],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3265]
[0.03],[1.7288],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4699]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4137]
[0.034],[1.7288],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1778]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7845]
[0.038],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2576]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6226]
[0.042],[1.7321],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[-3.8999]
[0.044],[1.7335],[0.001  0.001  0.001  0.0019 0.0019 0.0013],[-3.1152]
[0.046],[1.735],[0.001  0.001  0.001  0.002  0.002  0.0014],[-2.2965]
[0.048],[1.7366],[0.001  0.001  0.001  0.0022 0.0022 0.0015],[-1.4695]
[0.05],[1.7382],[0.001  0.001  0.001  0.0022 0.0022 0.0015],[-0.6562]
[0.052],[1.7399],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[0.1238]
[0.054],[1.7415],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[0.853]
[0.056],[1.7431],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[1.5168]
[0.058],[1.7446],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[2.1033]
[0.06],[1.746],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[2.6035]
[0.062],[1.7472],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[3.5161]
[0.064],[1.7482],[0.001  0.001  0.001  0.0023 0.0023 0.0015],[3.7454]
[0.066],[1.749],[0.001  0.001  0.001  0.0022 0.0022 0.0015],[3.8744]
[0.068],[1.7497],[0.001  0.001  0.001  0.0022 0.0022 0.0015],[3.9069]
[0.07],[1.7501],[0.001  0.001  0.001  0.0022 0.0022 0.0015],[3.8488]
[0.072],[1.7504],[0.001  0.001  0.001  0.0022 0.0022 0.0015],[3.708]
[0.074],[1.7504],[0.001  0.001  0.001  0.0021 0.0021 0.0014],[3.4935]
[0.076],[1.7503],[0.001  0.001  0.001  0.0021 0.0021 0.0014],[3.2158]
[0.078],[1.7501],[0.001  0.001  0.001  0.0021 0.0021 0.0014],[2.8859]
[0.08],[1.7497],[0.001  0.001  0.001  0.0021 0.0021 0.0014],[2.5153]
[0.082],[1.7492],[0.001  0.001  0.001  0.002  0.002  0.0014],[2.0928]
[0.084],[1.7486],[0.001  0.001  0.001  0.002  0.002  0.0014],[1.6829]
[0.086],[1.748],[0.001  0.001  0.001  0.002  0.002  0.0014],[1.265]
[0.088],[1.7472],[0.001  0.001  0.001  0.002  0.002  0.0014],[0.8503]
[0.09],[1.7465],[0.001  0.001  0.001  0.0019 0.0019 0.0014],[0.4484]
[0.092],[1.7457],[0.001  0.001  0.001  0.0019 0.0019 0.0014],[0.0677]
[0.094],[1.745],[0.001  0.001  0.001  0.0019 0.0019 0.0013],[-0.2844]
[0.096],[1.7443],[0.001  0.001  0.001  0.0019 0.0019 0.0013],[-0.6018]
[0.098],[1.7436],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-0.8795]
[0.1],[1.7429],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-1.1141]
[0.102],[1.7424],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-1.5318]
[0.104],[1.7419],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-1.6347]
[0.106],[1.7415],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-1.6903]
[0.108],[1.7412],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-1.7009]
[0.11],[1.741],[0.001  0.001  0.001  0.0018 0.0018 0.0013],[-1.6695]
[0.112],[1.7409],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-1.6003]
[0.114],[1.7409],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-1.4976]
[0.116],[1.7409],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-1.3664]
[0.118],[1.741],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-1.2122]
[0.12],[1.7411],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-1.0402]
[0.122],[1.7413],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-0.8348]
[0.124],[1.7416],[0.001  0.001  0.001  0.0017 0.0017 0.0013],[-0.6477]
[0.126],[1.7419],[0.001  0.001  0.001  0.0017 0.0017 0.0012],[-0.4585]
[0.128],[1.7422],[0.001  0.001  0.001  0.0017 0.0017 0.0012],[-0.2721]
[0.13],[1.7425],[0.001  0.001  0.001  0.0017 0.0017 0.0012],[-0.0928]
[0.132],[1.7428],[0.001  0.001  0.001  0.0017 0.0017 0.0012],[0.0756]
[0.134],[1.7431],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.23]
[0.136],[1.7434],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.3677]
[0.138],[1.7436],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.4867]
[0.14],[1.7439],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.5855]
[0.142],[1.7441],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.7689]
[0.144],[1.7443],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.8076]
[0.146],[1.7444],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.8246]
[0.148],[1.7445],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.8212]
[0.15],[1.7445],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.799]
[0.152],[1.7445],[0.001  0.001  0.001  0.0016 0.0016 0.0012],[0.7599]
[0.154],[1.7445],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.7061]
[0.156],[1.7445],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.64]
[0.158],[1.7444],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.5641]
[0.16],[1.7443],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.4809]
[0.162],[1.7441],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.3808]
[0.164],[1.744],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.2932]
[0.166],[1.7438],[0.001  0.001  0.001  0.0015 0.0015 0.0012],[0.2054]
