timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0201]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.711]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2179]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7895]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4284]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1754]
[0.014],[1.7396],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0658]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1299]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6076]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1275]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.552]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3772]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9657]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3253]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4687]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4127]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.177]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7838]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2572]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6223]
[0.042],[1.7321],[0.006 0.006 0.006 0.001 0.001 0.001],[-3.8999]
[0.044],[1.7334],[0.009 0.009 0.009 0.001 0.001 0.001],[-3.1453]
[0.046],[1.7349],[0.0108 0.0108 0.0108 0.001  0.001  0.001 ],[-2.3728]
[0.048],[1.7364],[0.0119 0.0119 0.0119 0.001  0.001  0.001 ],[-1.6027]
[0.05],[1.738],[0.0125 0.0125 0.0125 0.001  0.001  0.001 ],[-0.8532]
[0.052],[1.7396],[0.0129 0.0129 0.0129 0.001  0.001  0.001 ],[-0.1407]
[0.054],[1.7412],[0.0132 0.0132 0.0132 0.001  0.001  0.001 ],[0.5198]
[0.056],[1.7427],[0.0133 0.0133 0.0133 0.001  0.001  0.001 ],[1.116]
[0.058],[1.7441],[0.0134 0.0134 0.0134 0.001  0.001  0.001 ],[1.6376]
[0.06],[1.7454],[0.0135 0.0135 0.0135 0.001  0.001  0.001 ],[2.0773]
[0.062],[1.7465],[0.0168 0.0168 0.0168 0.001  0.001  0.001 ],[2.8928]
[0.064],[1.7475],[0.0188 0.0188 0.0188 0.001  0.001  0.001 ],[3.0632]
[0.066],[1.7482],[0.0201 0.0201 0.0201 0.001  0.001  0.001 ],[3.1313]
[0.068],[1.7488],[0.0208 0.0208 0.0208 0.001  0.001  0.001 ],[3.1041]
[0.07],[1.7492],[0.0213 0.0213 0.0213 0.001  0.001  0.001 ],[2.9902]
[0.072],[1.7493],[0.0216 0.0216 0.0216 0.001  0.001  0.001 ],[2.7991]
[0.074],[1.7493],[0.0218 0.0218 0.0218 0.001  0.001  0.001 ],[2.5411]
[0.076],[1.7492],[0.0219 0.0219 0.0219 0.001  0.001  0.001 ],[2.2273]
[0.078],[1.7489],[0.022 0.022 0.022 0.001 0.001 0.001],[1.8694]
[0.08],[1.7485],[0.022 0.022 0.022 0.001 0.001 0.001],[1.479]
[0.082],[1.748],[0.0216 0.0216 0.0216 0.0063 0.0063 0.0032],[1.009]
[0.084],[1.7474],[0.0212 0.0212 0.0212 0.0094 0.0094 0.0045],[0.6328]
[0.086],[1.7468],[0.0208 0.0208 0.0208 0.0113 0.0113 0.0053],[0.2742]
[0.088],[1.7461],[0.0205 0.0205 0.0205 0.0124 0.0124 0.0058],[-0.0615]
[0.09],[1.7455],[0.0201 0.0201 0.0201 0.0131 0.0131 0.0061],[-0.3697]
[0.092],[1.7449],[0.0198 0.0198 0.0198 0.0135 0.0135 0.0063],[-0.6461]
[0.094],[1.7443],[0.0194 0.0194 0.0194 0.0138 0.0138 0.0064],[-0.887]
[0.096],[1.7437],[0.0191 0.0191 0.0191 0.0139 0.0139 0.0065],[-1.0897]
[0.098],[1.7432],[0.0188 0.0188 0.0188 0.014  0.014  0.0065],[-1.2524]
[0.1],[1.7428],[0.0185 0.0185 0.0185 0.0141 0.0141 0.0065],[-1.3742]
[0.102],[1.7424],[0.0181 0.0181 0.0181 0.0163 0.0163 0.0075],[-1.6219]
[0.104],[1.7421],[0.0178 0.0178 0.0178 0.0176 0.0176 0.0081],[-1.6221]
[0.106],[1.7419],[0.0175 0.0175 0.0175 0.0184 0.0184 0.0084],[-1.5771]
[0.108],[1.7418],[0.0172 0.0172 0.0172 0.0189 0.0189 0.0086],[-1.4924]
[0.11],[1.7417],[0.0169 0.0169 0.0169 0.0192 0.0192 0.0088],[-1.3736]
[0.112],[1.7418],[0.0166 0.0166 0.0166 0.0194 0.0194 0.0088],[-1.2266]
[0.114],[1.7419],[0.0163 0.0163 0.0163 0.0195 0.0195 0.0089],[-1.057]
[0.116],[1.742],[0.0161 0.0161 0.0161 0.0196 0.0196 0.0089],[-0.8706]
[0.118],[1.7422],[0.0158 0.0158 0.0158 0.0196 0.0196 0.0089],[-0.673]
[0.12],[1.7425],[0.0155 0.0155 0.0155 0.0197 0.0197 0.009 ],[-0.4698]
[0.122],[1.7427],[0.0153 0.0153 0.0153 0.0193 0.0193 0.0088],[-0.1888]
[0.124],[1.743],[0.0151 0.0151 0.0151 0.019  0.019  0.0086],[-0.0049]
[0.126],[1.7433],[0.015  0.015  0.015  0.0186 0.0186 0.0085],[0.1683]
[0.128],[1.7436],[0.0148 0.0148 0.0148 0.0183 0.0183 0.0083],[0.3271]
[0.13],[1.7438],[0.0146 0.0146 0.0146 0.018  0.018  0.0082],[0.4687]
[0.132],[1.7441],[0.0144 0.0144 0.0144 0.0177 0.0177 0.008 ],[0.5909]
[0.134],[1.7443],[0.0143 0.0143 0.0143 0.0174 0.0174 0.0079],[0.6922]
[0.136],[1.7445],[0.0141 0.0141 0.0141 0.0171 0.0171 0.0078],[0.7717]
[0.138],[1.7447],[0.0139 0.0139 0.0139 0.0168 0.0168 0.0076],[0.829]
[0.14],[1.7448],[0.0138 0.0138 0.0138 0.0166 0.0166 0.0075],[0.8644]
[0.142],[1.7449],[0.0136 0.0136 0.0136 0.0163 0.0163 0.0074],[0.9619]
[0.144],[1.7449],[0.0134 0.0134 0.0134 0.016  0.016  0.0072],[0.9425]
[0.146],[1.7449],[0.0132 0.0132 0.0132 0.0157 0.0157 0.0071],[0.9041]
[0.148],[1.7449],[0.013  0.013  0.013  0.0154 0.0154 0.007 ],[0.8492]
[0.15],[1.7448],[0.0129 0.0129 0.0129 0.0151 0.0151 0.0069],[0.7802]
[0.152],[1.7447],[0.0127 0.0127 0.0127 0.0149 0.0149 0.0068],[0.6998]
[0.154],[1.7446],[0.0125 0.0125 0.0125 0.0146 0.0146 0.0066],[0.6107]
[0.156],[1.7445],[0.0123 0.0123 0.0123 0.0144 0.0144 0.0065],[0.5157]
[0.158],[1.7443],[0.0122 0.0122 0.0122 0.0141 0.0141 0.0064],[0.4173]
[0.16],[1.7441],[0.012  0.012  0.012  0.0139 0.0139 0.0063],[0.3182]
[0.162],[1.7439],[0.0118 0.0118 0.0118 0.0138 0.0138 0.0063],[0.181]
[0.164],[1.7437],[0.0116 0.0116 0.0116 0.0137 0.0137 0.0062],[0.0956]
[0.166],[1.7435],[0.0114 0.0114 0.0114 0.0136 0.0136 0.0062],[0.0169]
[0.168],[1.7433],[0.0112 0.0112 0.0112 0.0135 0.0135 0.0062],[-0.0537]
[0.17],[1.7432],[0.011  0.011  0.011  0.0135 0.0135 0.0061],[-0.1148]
[0.172],[1.743],[0.0108 0.0108 0.0108 0.0134 0.0134 0.0061],[-0.1658]
[0.174],[1.7429],[0.0106 0.0106 0.0106 0.0133 0.0133 0.0061],[-0.206]
[0.176],[1.7427],[0.0105 0.0105 0.0105 0.0132 0.0132 0.006 ],[-0.2352]
[0.178],[1.7426],[0.0103 0.0103 0.0103 0.0132 0.0132 0.006 ],[-0.2535]
[0.18],[1.7425],[0.0101 0.0101 0.0101 0.0131 0.0131 0.006 ],[-0.2613]
[0.182],[1.7425],[0.01   0.01   0.01   0.0129 0.0129 0.0059],[-0.2927]
[0.184],[1.7424],[0.0098 0.0098 0.0098 0.0128 0.0128 0.0058],[-0.2757]
