timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.744],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0265]
[0.004],[1.7446],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7166]
[0.006],[1.7446],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.222]
[0.008],[1.7439],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7923]
[0.01],[1.7428],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4301]
[0.012],[1.7413],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1759]
[0.014],[1.7396],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0653]
[0.016],[1.7378],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1286]
[0.018],[1.736],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6095]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1299]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5552]
[0.024],[1.7312],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3806]
[0.026],[1.7301],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9691]
[0.028],[1.7293],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3285]
[0.03],[1.7288],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4717]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4154]
[0.034],[1.7288],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1792]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7856]
[0.038],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2586]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6232]
[0.042],[1.7321],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-3.9001]
[0.044],[1.7335],[0.001  0.001  0.001  0.0012 0.0011 0.0013],[-3.1174]
[0.046],[1.735],[0.001  0.001  0.001  0.0012 0.0011 0.0013],[-2.3017]
[0.048],[1.7366],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[-1.4785]
[0.05],[1.7382],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[-0.6694]
[0.052],[1.7399],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[0.106]
[0.054],[1.7415],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[0.8306]
[0.056],[1.7431],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[1.4898]
[0.058],[1.7446],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[2.072]
[0.06],[1.746],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[2.568]
[0.062],[1.7472],[0.001  0.001  0.001  0.0013 0.0011 0.0016],[3.4742]
[0.064],[1.7482],[0.001  0.001  0.001  0.0013 0.0011 0.0017],[3.7012]
[0.066],[1.749],[0.001  0.001  0.001  0.0013 0.0011 0.0017],[3.8289]
[0.068],[1.7496],[0.001  0.001  0.001  0.0013 0.0011 0.0017],[3.8609]
[0.07],[1.7501],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.8032]
[0.072],[1.7503],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.6634]
[0.074],[1.7504],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.4506]
[0.076],[1.7503],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.1751]
[0.078],[1.7501],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[2.8479]
[0.08],[1.7497],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[2.4803]
[0.082],[1.7492],[0.001  0.001  0.001  0.0014 0.0011 0.0019],[2.0617]
[0.084],[1.7486],[0.001  0.001  0.001  0.0014 0.0011 0.002 ],[1.6558]
[0.086],[1.7479],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[1.2423]
[0.088],[1.7472],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[0.8323]
[0.09],[1.7465],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[0.4351]
[0.092],[1.7457],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[0.0592]
[0.094],[1.745],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[-0.2882]
[0.096],[1.7443],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-0.6011]
[0.098],[1.7436],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-0.8747]
[0.1],[1.743],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-1.1056]
[0.102],[1.7424],[0.001  0.001  0.001  0.0015 0.0012 0.0023],[-1.5167]
[0.104],[1.742],[0.001  0.001  0.001  0.0015 0.0012 0.0024],[-1.6167]
[0.106],[1.7416],[0.001  0.001  0.001  0.0016 0.0012 0.0024],[-1.6697]
[0.108],[1.7413],[0.001  0.001  0.001  0.0016 0.0012 0.0024],[-1.678]
[0.11],[1.7411],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.6448]
[0.112],[1.741],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.574]
[0.114],[1.7409],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.4703]
[0.116],[1.741],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.3385]
[0.118],[1.7411],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.184]
