timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0126]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7043]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2128]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7859]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4263]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1745]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0661]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1312]
[0.018],[1.7358],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6054]
[0.02],[1.734],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1247]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5479]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.373]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9614]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.321]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4646]
[0.032],[1.7285],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4089]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1735]
[0.036],[1.7291],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7808]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2547]
[0.04],[1.7308],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6204]
[0.042],[1.732],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.8987]
[0.044],[1.7334],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.1177]
[0.046],[1.7349],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.3043]
[0.048],[1.7365],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.4834]
[0.05],[1.7381],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6768]
[0.052],[1.7398],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0961]
[0.054],[1.7414],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8183]
[0.056],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[1.4752]
[0.058],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0553]
[0.06],[1.7458],[0.001 0.001 0.001 0.001 0.001 0.001],[2.5495]
[0.062],[1.747],[0.001 0.001 0.001 0.001 0.001 0.001],[3.4524]
[0.064],[1.748],[0.001 0.001 0.001 0.001 0.001 0.001],[3.678]
[0.066],[1.7489],[0.001 0.001 0.001 0.001 0.001 0.001],[3.8042]
[0.068],[1.7495],[0.001 0.001 0.001 0.001 0.001 0.001],[3.8348]
[0.07],[1.7499],[0.001 0.001 0.001 0.001 0.001 0.001],[3.7758]
[0.072],[1.7502],[0.001 0.001 0.001 0.001 0.001 0.001],[3.6349]
[0.074],[1.7503],[0.001 0.001 0.001 0.001 0.001 0.001],[3.4213]
[0.076],[1.7502],[0.001 0.001 0.001 0.001 0.001 0.001],[3.1452]
[0.078],[1.7499],[0.001 0.001 0.001 0.001 0.001 0.001],[2.8176]
[0.08],[1.7495],[0.001 0.001 0.001 0.001 0.001 0.001],[2.4499]
[0.082],[1.7491],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0305]
[0.084],[1.7485],[0.001 0.001 0.001 0.001 0.001 0.001],[1.6244]
[0.086],[1.7478],[0.001 0.001 0.001 0.001 0.001 0.001],[1.2107]
[0.088],[1.7471],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8005]
[0.09],[1.7464],[0.001 0.001 0.001 0.001 0.001 0.001],[0.4031]
